class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
Open_hand,0.835314691,0.753566682,2.02E-07,0.759295046,0.735178828,-0.024003303,0.696774781,0.682362556,-0.034188576,0.653828204,0.627728701,-0.043677516,0.617905021,0.581701338,-0.052209698,0.715158165,0.564719856,-0.004569528,0.674876511,0.491130888,-0.023370864,0.648389041,0.446879774,-0.041394487,0.625316918,0.408301502,-0.055043999,0.751737714,0.541506052,-0.008287883,0.719808221,0.4545753,-0.024293946,0.698925197,0.402854204,-0.040567055,0.680292964,0.359421819,-0.052348729,0.79194057,0.535935462,-0.017133495,0.764062941,0.454098523,-0.034812003,0.743502378,0.406397104,-0.044999599,0.723755896,0.364819288,-0.05172848,0.837847471,0.543274403,-0.028867327,0.826131582,0.475875765,-0.044289429,0.814186752,0.435497761,-0.048953757,0.800988853,0.399261445,-0.051490057
Open_hand,0.146316335,0.689853549,6.62E-07,0.216857865,0.657329023,-0.027541259,0.270065129,0.598954797,-0.034191921,0.314568758,0.546963871,-0.039360072,0.34938252,0.508368552,-0.04415492,0.225744814,0.475421816,-0.003397678,0.262280345,0.392431289,-0.01464463,0.284541041,0.341131032,-0.028979102,0.300995052,0.295607507,-0.040189099,0.183932662,0.458318889,-0.002385444,0.204936177,0.360849768,-0.011169176,0.220231488,0.295741409,-0.027429953,0.230753988,0.243406877,-0.039942995,0.140639186,0.462593406,-0.006011639,0.15367496,0.370953172,-0.017820068,0.165548757,0.313202143,-0.032647204,0.17622602,0.26444155,-0.043018714,0.095095001,0.484724551,-0.012708876,0.096821114,0.415445358,-0.026999854,0.099281989,0.368724763,-0.035165586,0.105010428,0.324465156,-0.039743613
Open_hand,0.137802422,0.690049291,7.07E-07,0.207438216,0.655426919,-0.027699953,0.265422076,0.601722717,-0.038692337,0.310930282,0.547012985,-0.048509978,0.347621143,0.509931386,-0.057960115,0.223329574,0.476109326,-0.009032952,0.263855785,0.393422782,-0.024937622,0.285558283,0.341288298,-0.041297268,0.302495718,0.296943128,-0.052803982,0.180788383,0.458308041,-0.008762027,0.203726813,0.356220663,-0.021115582,0.216228366,0.290777713,-0.036229957,0.22552675,0.238448888,-0.047046244,0.13839002,0.461898685,-0.012945126,0.151574299,0.36719656,-0.026315806,0.162493706,0.30707854,-0.038088996,0.173273712,0.257364362,-0.045913313,0.093073346,0.482707888,-0.02019033,0.094221994,0.414066732,-0.033630829,0.096293837,0.369734645,-0.03814213,0.100048304,0.328181684,-0.039730053
Open_hand,0.140683204,0.693381429,7.00E-07,0.210000575,0.653719544,-0.027657159,0.265478104,0.598696649,-0.038668182,0.310004473,0.543168664,-0.048641279,0.346145064,0.503806651,-0.05828454,0.219679594,0.475515276,-0.008866697,0.259831041,0.391821444,-0.025528904,0.28115961,0.339269578,-0.042403527,0.297605783,0.293638885,-0.054222442,0.176778093,0.459032387,-0.009050603,0.199774563,0.355753958,-0.022324098,0.212878928,0.289666891,-0.038089696,0.222487584,0.236030191,-0.049493331,0.133954167,0.46368885,-0.013848314,0.146058962,0.369093359,-0.028404163,0.157880813,0.307157457,-0.040859703,0.169239089,0.255790144,-0.049206685,0.088719085,0.48438704,-0.021686882,0.090747751,0.415192187,-0.035941437,0.094044693,0.369852006,-0.040958915,0.099100746,0.327472806,-0.043092869
Open_hand,0.13824904,0.693745852,6.90E-07,0.207640141,0.654743671,-0.027735908,0.263327748,0.599181294,-0.0388574,0.307712585,0.543143094,-0.048943538,0.343881488,0.50441283,-0.058614004,0.21911931,0.475184888,-0.009423937,0.258838952,0.391402215,-0.026170041,0.279850304,0.338032901,-0.042906571,0.296183705,0.29210341,-0.054751743,0.176806316,0.458120048,-0.009679381,0.19773294,0.353619218,-0.023376191,0.209373876,0.287087083,-0.038813971,0.218348891,0.233766526,-0.049913324,0.134035587,0.462606311,-0.014624458,0.145323753,0.364979595,-0.029830264,0.155468762,0.302771211,-0.04255531,0.165511653,0.252171546,-0.050785948,0.088532008,0.483810574,-0.022608973,0.089088403,0.411385238,-0.037797429,0.090164922,0.363476574,-0.043713767,0.092664488,0.319202602,-0.046283599
Open_hand,0.137650043,0.69310528,6.77E-07,0.20771122,0.65350616,-0.026982063,0.264115155,0.598804533,-0.037793446,0.308244407,0.5436216,-0.047777012,0.344171345,0.504939973,-0.0573522,0.219807923,0.474834114,-0.007724507,0.25915724,0.390701234,-0.024164202,0.28003636,0.337349892,-0.040715549,0.296346933,0.291547775,-0.052467946,0.177250385,0.457968801,-0.008396839,0.197679758,0.352910578,-0.021843996,0.209205121,0.286682904,-0.03714424,0.217888981,0.233392686,-0.048179068,0.134402007,0.46247375,-0.013782379,0.145496517,0.364787251,-0.0287131,0.15547438,0.302522689,-0.041054294,0.165325895,0.251673579,-0.049136296,0.088951632,0.483769804,-0.022191912,0.089261062,0.412573576,-0.036986321,0.090577766,0.365502775,-0.042394184,0.093183957,0.321330994,-0.044697717
Open_hand,0.134426251,0.694351554,6.93E-07,0.203815997,0.656610012,-0.029594265,0.259997368,0.60112673,-0.041358069,0.305065662,0.543432653,-0.051777497,0.341540486,0.501809001,-0.061647911,0.215081453,0.473211318,-0.01022938,0.25494048,0.387885392,-0.026680609,0.275785446,0.334293664,-0.043440256,0.291774601,0.287096858,-0.055441808,0.172831684,0.456764877,-0.009798544,0.19502452,0.352543354,-0.02303415,0.206895143,0.286037743,-0.03867168,0.215708122,0.232296973,-0.050227184,0.130286112,0.462012529,-0.014289739,0.141854286,0.365630269,-0.029366011,0.152103588,0.302961051,-0.042537764,0.161679015,0.251222014,-0.051336695,0.084928595,0.483483464,-0.022066165,0.086276852,0.410182565,-0.037547357,0.087174378,0.361445397,-0.044126414,0.089409932,0.315628588,-0.047365669
Open_hand,0.134714752,0.692976415,6.83E-07,0.205037445,0.652868152,-0.026761692,0.261329174,0.596956253,-0.036324479,0.305828989,0.540242672,-0.045118213,0.341740727,0.501393676,-0.053686906,0.215499967,0.473620236,-0.004767613,0.254217684,0.388589799,-0.020004427,0.274922878,0.335178733,-0.036225531,0.29066354,0.289039224,-0.047758084,0.173552811,0.457903296,-0.005176261,0.195137694,0.352114618,-0.01741823,0.206415355,0.284964532,-0.032792885,0.214363232,0.230738193,-0.044008501,0.130852848,0.462639093,-0.010464762,0.143122673,0.365047753,-0.02474292,0.152708501,0.302251875,-0.037520654,0.161940232,0.250961661,-0.045922466,0.084268034,0.483385891,-0.0187876,0.085244745,0.411720991,-0.03303241,0.086868539,0.364748448,-0.038393289,0.090089045,0.320375919,-0.04080512
Open_hand,0.13896291,0.69368875,6.78E-07,0.209223345,0.652366281,-0.02525704,0.263225853,0.595900655,-0.034984045,0.306016237,0.53933233,-0.04423878,0.342603862,0.500740051,-0.053421672,0.217360094,0.474018067,-0.005605277,0.255635858,0.389176875,-0.022063455,0.276575625,0.335368574,-0.038783725,0.292872787,0.288890719,-0.050646093,0.174376175,0.458397478,-0.007201906,0.194551289,0.352351427,-0.021033248,0.206176504,0.285775781,-0.036867581,0.214672253,0.230863214,-0.048304912,0.131248534,0.463611364,-0.013417868,0.141569406,0.366231561,-0.028739935,0.151471466,0.303317964,-0.040944897,0.161542147,0.250593781,-0.048938029,0.084856726,0.485174149,-0.022496955,0.085538782,0.413235754,-0.036757477,0.089108534,0.366556615,-0.041279599,0.094776809,0.321883142,-0.043212786
Open_hand,0.139080375,0.694431186,6.85E-07,0.209321842,0.652157545,-0.025184521,0.262632787,0.597022057,-0.035015281,0.305660963,0.541281819,-0.044472542,0.342277765,0.502834499,-0.053658668,0.217409387,0.472883165,-0.004036797,0.256008804,0.388199627,-0.019704752,0.276780903,0.33446461,-0.036199816,0.293004662,0.287826359,-0.047988687,0.174851522,0.457089871,-0.005124077,0.195649281,0.353283405,-0.017880766,0.207278505,0.287121475,-0.033096824,0.215825677,0.233155876,-0.04412761,0.13190791,0.46218136,-0.010935199,0.142198473,0.365199089,-0.025289584,0.151804462,0.302736223,-0.037334356,0.161372781,0.251114845,-0.045194775,0.086356089,0.484093547,-0.01966201,0.087210603,0.412413359,-0.033741929,0.089091137,0.36529386,-0.038535379,0.092388913,0.320548952,-0.040443435
